t,obs_1
1,0.023677718367712795
2,0.38190007993411884
3,0.5061156197707849
4,0.926904400750873
5,0.7455362668509161
6,1.3615116915363763
7,1.9115908662871486
8,2.2590337060006336
9,2.318895018935994
10,2.8382007984362194
11,2.3743881611388717
12,3.1417379670893215
13,3.6382924518362962
14,3.1058582665550145
15,4.145334626874557
16,3.967818542133052
17,4.489559243209014
18,4.3273835139692665
19,4.847243606773373
20,4.983039870391269
21,4.6475516499271325
22,4.714616644813113
23,4.457786868515304
24,4.871637196126593
25,5.292608006217828
26,5.238887427394098
27,4.739777820788306
28,5.14829999347529
29,5.3726466400341035
30,4.800161180391821
31,4.5038821002877505
32,4.6581441600801945
33,4.244680895738728
34,4.459635749879159
35,4.220991624669162
36,3.403102760320217
37,4.0888463749196715
38,3.7330576351033127
39,3.293910309191223
40,2.6599814945530618
41,3.197437349495375
42,2.568399914469241
43,2.349800430454685
44,2.0999127451391493
45,1.5527812055457082
46,1.7513682122575354
47,1.4998218039829767
48,1.0030124341292455
49,0.21034080699689112
50,0.42238040095834
51,-0.3190571040875284
52,-0.7381576496656316
53,-0.04480904152809051
54,-1.1476451672333268
55,-1.1409704085945935
56,-1.7978989269924783
57,-2.216779209462138
58,-1.9116487445123926
59,-2.0909258599988716
60,-3.1128933388881483
61,-2.733669701209588
62,-3.2896016971143367
63,-3.6103575699588424
64,-4.244374150290475
65,-3.661551679623567
66,-3.269059906612331
67,-4.241483589368437
68,-4.384065877218282
69,-4.640711331070309
70,-4.712947274124036
71,-4.7264613259044985
72,-5.4452270049604765
73,-4.360270553720604
74,-5.089744499036308
75,-5.183707897000202
76,-5.090612048599224
77,-5.496464969361136
78,-5.31386098939982
79,-5.058210682210336
80,-4.489507266544627
81,-5.221411169059122
82,-4.378040053094906
83,-4.615727006020114
84,-4.530747112416352
85,-4.069112868565695
86,-3.8702908052832745
87,-3.8690063393261465
88,-3.668572995799104
89,-3.3409194684586487
90,-3.2287906540424967
91,-3.1232884806792
92,-2.5502004476680162
93,-2.803831771468767
94,-1.957134171172074
95,-1.5547656408641644
96,-1.5542299974526945
97,-1.566547586579308
98,-0.7326525198211011
99,-0.9446823252371841
100,0.030542662500058215
101,-0.4149537446391935
102,0.6785421382146675
103,0.4828929402235827
104,1.3318461368131183
105,1.9252562064513818
106,1.566854240596035
107,1.5170888063356753
108,2.4609441104878638
109,2.4711554544355123
110,3.212519810412418
111,3.2970815423637347
112,3.109293574466091
113,3.5044704256472463
114,3.5981037339420867
115,4.79970889986724
116,3.9521103097217227
117,4.626478948072028
118,4.058000239429286
119,4.604838099502929
120,4.813331821013763
121,4.883406111283314
122,5.065594407654041
123,5.064937307762681
124,4.445204374647393
125,5.370321646684454
126,4.97625531179259
127,4.873004913424061
128,5.1509557754232596
129,4.893739621120344
130,4.674999699151273
131,4.899931957844641
132,4.622694062427648
133,4.431813327591658
134,4.315182931037238
135,4.007048753282214
136,3.8519314053499856
137,3.2585066439869768
