t,dim_1
1,0.010770467935798937
2,0.010770466433930507
3,0.010770467122672923
4,0.010770468343534387
5,0.010770467011197282
6,0.01077046601413504
7,0.010770465737265854
8,0.01077046721019248
9,0.010770466467134298
10,0.010770463253889358
11,0.01077045801879916
12,0.010770455768052179
13,0.010770453362984087
14,0.01077045218454459
15,0.010770450905880441
16,0.010770450997039192
17,0.01077044796457428
18,0.010770444471690338
19,0.010770439217793268
20,0.010770432967825903
21,0.010770426794853348
22,0.010770417427094909
23,0.010770409718201514
24,0.010770405319581362
25,0.010770397649059947
26,0.0107703920267727
27,0.01077038992457147
28,0.010770387103937174
29,0.010770382168618637
30,0.010770381340586367
31,0.010770383718145192
32,0.010770385954910049
33,0.010770386970137451
34,0.010770387369588276
35,0.010770387248229263
36,0.010770385802840926
37,0.010770382090081633
38,0.010770375015635013
39,0.010770366553919594
40,0.010770356256479449
41,0.010770345883621923
42,0.010770336296357189
43,0.01077032527871524
44,0.010770317208879849
45,0.010770310310962672
46,0.010770305625764316
47,0.010770297488309481
48,0.010770287815594073
49,0.010770279208951258
50,0.010770271982843105
51,0.0107702655988072
52,0.010770261157512711
53,0.010770256479517695
54,0.010770255398334871
55,0.01077025186656063
56,0.010770250850358924
57,0.01077025071757317
58,0.010770250198282334
59,0.010770251294742645
60,0.010770253121968458
61,0.010770255267463304
62,0.010770256531929284
63,0.01077025500836562
64,0.010770258362277515
65,0.01077025855021592
66,0.010770255664476083
67,0.010770250060822455
68,0.01077024440997793
69,0.01077023622453476
70,0.010770229375823169
71,0.010770224586512722
72,0.01077021701250207
73,0.010770209410963088
74,0.01077020287139435
75,0.010770192636167082
76,0.010770182743111183
77,0.010770173281954275
78,0.010770167226930305
79,0.010770162070260105
80,0.010770157648529878
81,0.010770150949069074
82,0.010770142595618034
83,0.010770131842983895
84,0.010770121468227194
85,0.010770110513134278
86,0.010770100360451576
87,0.01077008848802949
88,0.01077007472868293
89,0.01077006134982138
90,0.010770047420239863
91,0.010770031167008335
92,0.010770017994608952
93,0.010770002469374023
94,0.010769989953050408
95,0.010769979815608977
96,0.01076996908659804
97,0.01076995980184062
98,0.010769951608458134
99,0.01076994412697313
100,0.010769935326232253
101,0.010769927238440457
102,0.010769919067853588
103,0.010769909010099403
104,0.010769897544789792
105,0.010769888598518452
106,0.010769880867697739
107,0.010769875390945228
108,0.010769869856015002
109,0.01076986666921713
110,0.01076986297265404
111,0.010769855914394897
112,0.010769849566929009
113,0.010769847072008341
114,0.010769844928045908
115,0.010769843338696537
116,0.010769838892613884
117,0.010769832803879806
118,0.01076982732823768
119,0.010769820132810286
120,0.01076981036156041
121,0.01076980159137827
122,0.010769792174288431
123,0.010769784624541576
124,0.01076977985181815
125,0.010769775969626302
126,0.010769765577680545
127,0.010769757118954927
128,0.010769745641342454
129,0.010769735485401884
130,0.010769725908137004
131,0.01076971317744122
132,0.010769699995791245
133,0.01076969088188262
134,0.010769685076829108
135,0.010769682644419503
136,0.010769684206910447
137,0.01076968506101042
138,0.010769687280413928
139,0.010769693920710248
140,0.010769699195725796
141,0.010769705520124911
142,0.010769712182976236
143,0.010769717150857741
144,0.010769724402636224
145,0.010769732257427486
146,0.01076974084214456
147,0.01076974769188772
148,0.0107697534414032
149,0.010769759500876325
150,0.010769765140701047
151,0.010769771543136223
152,0.010769777534270141
153,0.010769784467433513
154,0.01076978733195723
155,0.0107697882314354
156,0.010769793336640758
157,0.010769799134057642
158,0.010769805468577694
159,0.010769811380899491
160,0.010769817818902317
161,0.010769827609943869
162,0.01076983909048505
163,0.010769847772043236
164,0.010769857735943982
165,0.010769873153079822
166,0.010769886970320853
167,0.010769902009139342
168,0.010769919067398567
169,0.010769934861699394
170,0.010769951494447384
171,0.010769967985247042
172,0.010769981763024107
173,0.010769996602227066
174,0.010770010586325672
175,0.010770023226390242
176,0.010770037247138946
177,0.010770053574806522
178,0.010770065957912677
179,0.010770075978462816
180,0.0107700847011977
181,0.010770100045364241
182,0.010770114103888777
183,0.010770131546431234
184,0.010770149125608829
185,0.010770165216780994
186,0.010770179525361192
187,0.010770194803542755
188,0.010770209804887423
189,0.01077022506816708
190,0.010770240174899122
191,0.010770258302065162
192,0.010770275256185543
193,0.010770292107478426
194,0.010770308917808755
195,0.010770324076663552
196,0.01077033985081759
197,0.010770357730799037
198,0.010770373347565212
199,0.010770385593539692
200,0.010770397551831772
201,0.01077040937204913
202,0.010770417873219945
203,0.01077042577119412
204,0.010770432067932356
205,0.010770435064358487
206,0.01077043834700781
207,0.010770439520498611
208,0.010770442762433807
209,0.010770447634720704
210,0.01077045291473558
211,0.01077045710808212
212,0.010770460781001176
213,0.010770464658900955
214,0.010770467864222848
215,0.010770473980851111
216,0.01077048203745825
217,0.010770489088648008
218,0.010770497930913364
219,0.010770507313771277
220,0.010770516100463031
221,0.010770525981449314
222,0.010770534967870234
223,0.01077054722758272
224,0.010770559807840927
225,0.01077056988635606
226,0.010770579379209057
227,0.01077058782832484
228,0.010770598916218841
229,0.010770611486375004
230,0.010770624113862202
231,0.01077063834855548
232,0.010770651114233868
233,0.010770664877402806
234,0.0107706791402944
235,0.010770692922861843
236,0.010770708033995558
237,0.010770722914774471
238,0.01077073826235416
239,0.010770753872236286
240,0.010770772697461455
241,0.010770793766632888
242,0.010770818597935817
243,0.010770846724421372
244,0.0107708756976617
245,0.010770902545461446
246,0.010770930983237446
247,0.010770961564923501
248,0.010770992932213869
249,0.010771024249661872
250,0.010771054236352341
251,0.010771083955980096
252,0.010771112972466794
253,0.010771142759024467
254,0.010771173479059674
255,0.01077120687119619
256,0.010771239772207238
257,0.010771271967380057
258,0.010771305849659208
259,0.010771340273395588
260,0.010771373655273647
261,0.010771406526974878
262,0.010771438554291867
263,0.010771466931062545
264,0.010771495895426673
265,0.01077152622717026
266,0.010771556184440811
267,0.010771584373447222
268,0.010771614134235163
269,0.01077164184141224
270,0.010771672648383
271,0.010771701927329968
272,0.010771729599596177
273,0.010771757528672725
274,0.010771785928977293
275,0.010771816654596155
276,0.010771844180434382
277,0.010771870967596256
278,0.010771894919682263
279,0.01077192039641101
280,0.01077194501805626
281,0.010771965429233378
282,0.010771988145155639
283,0.010772004540127044
284,0.01077202290048332
285,0.01077204169269532
286,0.010772059214477452
287,0.010772076286933165
288,0.01077209596671528
289,0.010772115500864255
290,0.010772132538730765
291,0.010772147615554572
292,0.010772161066280464
293,0.01077217027164571
294,0.010772179324016968
295,0.010772185860081149
296,0.010772189669421143
